,type,title,director,country,release_year,rating,listed_in,first_genre
211,Movie,Ragini MMS 2,Bhushan Patel,India,2014-01-01,TV-MA,"Horror Movies, International Movies",Horror Movies
212,TV Show,Rebellion,desconocido,Ireland,2016-01-01,TV-MA,"International TV Shows, TV Dramas",International TV Shows
213,TV Show,RIDE ON TIME,desconocido,desconocido,2021-01-01,TV-PG,"Docuseries, International TV Shows",Docuseries
214,Movie,SAS: Rise of the Black Swan,Magnus Martens,desconocido,2021-01-01,R,"Action & Adventure, International Movies",Action & Adventure
215,Movie,Shootout at Lokhandwala,Apoorva Lakhia,India,2007-01-01,TV-MA,"Action & Adventure, Dramas, International Movies",Action & Adventure
216,Movie,Shor In the City,"Raj Nidimoru, Krishna D.K.",India,2011-01-01,TV-14,"Comedies, Dramas, Independent Movies",Comedies
217,Movie,The Dirty Picture,Milan Luthria,India,2011-01-01,TV-14,"Comedies, Dramas, International Movies",Comedies
218,TV Show,Titletown High,desconocido,desconocido,2021-01-01,TV-14,"Reality TV, Teen TV Shows",Reality TV
219,TV Show,EDENS ZERO,desconocido,Japan,2021-01-01,TV-14,"Anime Series, International TV Shows",Anime Series
220,TV Show,Family Reunion,desconocido,United States,2021-01-01,TV-PG,"Kids' TV, TV Comedies",Kids' TV
221,Movie,"Bob Ross: Happy Accidents, Betrayal & Greed",Joshua Rofé,desconocido,2021-01-01,TV-14,Documentaries,Documentaries
222,TV Show,Clickbait,Brad Anderson,desconocido,2021-01-01,TV-MA,"Crime TV Shows, TV Dramas, TV Mysteries",Crime TV Shows
223,TV Show,John of God: The Crimes of a Spiritual Healer,"Mauricio Dias, Tatiana Villela",desconocido,2021-01-01,TV-MA,"Crime TV Shows, Docuseries, International TV Shows",Crime TV Shows
224,TV Show,Motel Makeover,desconocido,desconocido,2021-01-01,TV-14,"International TV Shows, Reality TV",International TV Shows
225,TV Show,Open Your Eyes,desconocido,desconocido,2021-01-01,TV-MA,"International TV Shows, TV Dramas, TV Mysteries",International TV Shows
226,TV Show,Post Mortem: No One Dies in Skarnes,desconocido,desconocido,2021-01-01,TV-MA,"International TV Shows, TV Comedies, TV Dramas",International TV Shows
227,Movie,Really Love,Angel Kristi Williams,United States,2020-01-01,TV-MA,"Dramas, Independent Movies, Romantic Movies",Dramas
228,Movie,The November Man,Roger Donaldson,"United States, United Kingdom",2014-01-01,R,Action & Adventure,Action & Adventure
229,Movie,The Old Ways,Christopher Alender,United States,2020-01-01,TV-MA,Horror Movies,Horror Movies
230,Movie,The River Runner,Rush Sturges,desconocido,2021-01-01,TV-MA,"Documentaries, Sports Movies",Documentaries
231,Movie,The Water Man,David Oyelowo,United States,2021-01-01,PG,"Children & Family Movies, Dramas",Children & Family Movies
232,TV Show,Wheel of Fortune,desconocido,United States,2019-01-01,TV-G,Reality TV,Reality TV
233,Movie,Count Me In,Mark Lo,United Kingdom,2021-01-01,TV-MA,"Documentaries, Music & Musicals",Documentaries
234,TV Show,Oggy Oggy,desconocido,desconocido,2021-01-01,TV-Y,"Kids' TV, TV Comedies",Kids' TV
235,Movie,Untold: Caitlyn Jenner,Crystal Moselle,desconocido,2021-01-01,TV-PG,"Documentaries, LGBTQ Movies, Sports Movies",Documentaries
236,Movie,Boomika,Rathindran R Prasad,desconocido,2021-01-01,TV-14,"Horror Movies, International Movies, Thrillers",Horror Movies
237,Movie,Boomika (Hindi),Rathindran R Prasad,desconocido,2021-01-01,TV-14,"Horror Movies, International Movies, Thrillers",Horror Movies
238,Movie,Boomika (Malayalam),Rathindran R Prasad,desconocido,2021-01-01,TV-14,"Horror Movies, International Movies, Thrillers",Horror Movies
239,Movie,Boomika (Telugu),Rathindran R Prasad,desconocido,2021-01-01,TV-14,"Horror Movies, International Movies, Thrillers",Horror Movies
240,Movie,The Witcher: Nightmare of the Wolf,Han Kwang Il,desconocido,2021-01-01,TV-MA,"Action & Adventure, Anime Features",Action & Adventure
241,TV Show,Manifest,desconocido,United States,2021-01-01,TV-14,"TV Dramas, TV Mysteries, TV Sci-Fi & Fantasy",TV Dramas
242,TV Show,Comedy Premium League,desconocido,desconocido,2021-01-01,TV-MA,"International TV Shows, TV Comedies",International TV Shows
243,TV Show,Everything Will Be Fine,desconocido,desconocido,2021-01-01,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Comedies",International TV Shows
244,Movie,Gunshot,Karim El Shenawy,desconocido,2018-01-01,TV-14,"Dramas, International Movies, Thrillers",Dramas
245,TV Show,Korean Cold Noodle Rhapsody,desconocido,desconocido,2021-01-01,TV-PG,"Docuseries, International TV Shows",Docuseries
246,Movie,Man in Love,Yin Chen-hao,desconocido,2021-01-01,TV-MA,"Dramas, International Movies, Romantic Movies",Dramas
247,Movie,Sweet Girl,Brian Andrew Mendoza,United States,2021-01-01,R,"Action & Adventure, Dramas",Action & Adventure
248,TV Show,The Chair,desconocido,desconocido,2021-01-01,TV-MA,"TV Comedies, TV Dramas",TV Comedies
249,Movie,The Loud House Movie,Dave Needham,desconocido,2021-01-01,TV-Y7,"Children & Family Movies, Comedies, Music & Musicals",Children & Family Movies
250,Movie,A Faraway Land,Veronica Velasco,desconocido,2020-01-01,TV-PG,"Dramas, International Movies, Romantic Movies",Dramas
251,Movie,Like Crazy,Drake Doremus,United States,2011-01-01,PG-13,"Dramas, Independent Movies, Romantic Movies",Dramas
252,Movie,Black Island,Miguel Alexandre,desconocido,2021-01-01,TV-MA,"International Movies, Thrillers",International Movies
253,Movie,Bombay,Mani Ratnam,India,1995-01-01,TV-14,"Dramas, International Movies, Romantic Movies",Dramas
254,TV Show,Go! Go! Cory Carson,desconocido,United States,2021-01-01,TV-Y,Kids' TV,Kids' TV
255,Movie,Memories of a Murderer: The Nilsen Tapes,Michael Harte,desconocido,2021-01-01,TV-MA,"Documentaries, International Movies",Documentaries
256,Movie,Nneka The Pretty Serpent,Tosin Igho,desconocido,2020-01-01,TV-14,"Dramas, International Movies",Dramas
257,Movie,O Kadhal Kanmani,Mani Ratnam,desconocido,2015-01-01,TV-14,"Dramas, International Movies, Romantic Movies",Dramas
258,Movie,Out of my league,Alice Filippi,desconocido,2020-01-01,TV-MA,"Comedies, Dramas, International Movies",Comedies
259,Movie,Pahuna,Paakhi Tyrewala,"India, Nepal",2018-01-01,TV-PG,"Comedies, Dramas, International Movies",Comedies
260,TV Show,The Defeated,desconocido,desconocido,2020-01-01,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas",Crime TV Shows
261,Movie,The Secret Diary of an Exchange Student,Bruno Garotti,desconocido,2021-01-01,TV-14,"Comedies, International Movies, Romantic Movies",Comedies
262,Movie,Untold: Deal With the Devil,Laura Brownson,desconocido,2021-01-01,TV-MA,"Documentaries, LGBTQ Movies, Sports Movies",Documentaries
263,TV Show,Mother Goose Club,desconocido,United States,2016-01-01,TV-Y,Kids' TV,Kids' TV
264,Movie,Walk of Shame,Steve Brill,United States,2014-01-01,R,"Comedies, Independent Movies",Comedies
265,TV Show,Rascal Does Not Dream of Bunny Girl Senpai,desconocido,Japan,2018-01-01,TV-14,"Anime Series, International TV Shows, Romantic TV Shows",Anime Series
266,TV Show,The Creative Indians,desconocido,India,2020-01-01,TV-MA,"Docuseries, International TV Shows",Docuseries
267,Movie,The Piano,Jane Campion,"New Zealand, Australia, France, United States",1993-01-01,R,"Classic Movies, Dramas, Independent Movies",Classic Movies
268,Movie,Unroyal,Moses Inwang,desconocido,2020-01-01,TV-MA,"Dramas, International Movies",Dramas
269,TV Show,Winx Club,desconocido,Italy,2015-01-01,TV-Y7,Kids' TV,Kids' TV
270,Movie,Beckett,Ferdinando Cito Filomarino,"Italy, Brazil, Greece",2021-01-01,TV-MA,Action & Adventure,Action & Adventure
271,TV Show,Brand New Cherry Flavor,desconocido,United States,2021-01-01,TV-MA,"TV Dramas, TV Horror, TV Mysteries",TV Dramas
272,TV Show,Fast & Furious Spy Racers,desconocido,United States,2021-01-01,TV-Y7,Kids' TV,Kids' TV
273,TV Show,Gone for Good,Juan Carlos Medina,France,2021-01-01,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas",Crime TV Shows
274,TV Show,Grace and Frankie,desconocido,United States,2021-01-01,TV-MA,"TV Comedies, TV Dramas",TV Comedies
275,TV Show,The Kingdom,desconocido,Argentina,2021-01-01,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Crime TV Shows
276,TV Show,Valeria,Inma Torrente,Spain,2021-01-01,TV-MA,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",International TV Shows
277,TV Show,AlRawabi School for Girls,desconocido,Jordan,2021-01-01,TV-14,"International TV Shows, TV Dramas, Teen TV Shows",International TV Shows
278,Movie,Lokillo: Nothing's the Same,Julián Gaviria,Colombia,2021-01-01,TV-MA,Stand-Up Comedy,Stand-Up Comedy
279,Movie,Monster Hunter: Legends of the Guild,Steven Yamamoto,"United States, Japan",2021-01-01,TV-PG,"Action & Adventure, Anime Features, Children & Family Movies",Action & Adventure
280,TV Show,Bake Squad,desconocido,United States,2021-01-01,TV-PG,Reality TV,Reality TV
281,Movie,Brother Jekwu,Charles Uwagbai,Nigeria,2016-01-01,TV-14,"Comedies, International Movies",Comedies
282,Movie,La diosa del asfalto,Julián Hernández,Mexico,2020-01-01,TV-MA,"Dramas, Independent Movies, International Movies",Dramas
283,Movie,Misha and the Wolves,Sam Hobkinson,"Belgium, United Kingdom",2021-01-01,PG-13,"Documentaries, International Movies",Documentaries
284,Movie,The Kissing Booth 3,Vince Marcello,"United Kingdom, United States",2021-01-01,TV-14,"Comedies, Romantic Movies",Comedies
285,Movie,The Railway Man,Jonathan Teplitzky,"Switzerland, United Kingdom, Australia",2013-01-01,R,"Dramas, International Movies",Dramas
286,TV Show,Gabby's Dollhouse,desconocido,United States,2021-01-01,TV-Y,Kids' TV,Kids' TV
287,TV Show,I Need Romance,Sakon Tiacharoen,desconocido,2021-01-01,TV-14,"International TV Shows, Romantic TV Shows, TV Comedies",International TV Shows
288,TV Show,Las muñecas de la mafia,desconocido,Colombia,2018-01-01,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Crime TV Shows
289,TV Show,The Crowned Clown,desconocido,South Korea,2019-01-01,TV-14,"International TV Shows, Romantic TV Shows, TV Dramas",International TV Shows
290,Movie,Untold: Malice at the Palace,Floyd Russ,United States,2021-01-01,TV-MA,"Documentaries, Sports Movies",Documentaries
291,TV Show,SHAMAN KING,desconocido,Japan,2021-01-01,TV-14,"Anime Series, International TV Shows",Anime Series
292,Movie,Quartet,Dustin Hoffman,United Kingdom,2012-01-01,PG-13,"Comedies, Dramas, Independent Movies",Comedies
293,Movie,Slay,Adze Ugah,South Africa,2021-01-01,TV-MA,"Comedies, International Movies, Romantic Movies",Comedies
294,Movie,Takizawa Kabuki ZERO 2020 The Movie,Hideaki Takizawa,desconocido,2020-01-01,TV-PG,"International Movies, Music & Musicals",International Movies
295,Movie,The Paper Tigers,Quoc Bao Tran,United States,2021-01-01,PG-13,"Action & Adventure, Comedies",Action & Adventure
296,TV Show,Hit & Run,desconocido,"Israel, United States",2021-01-01,TV-MA,"TV Action & Adventure, TV Dramas, TV Mysteries",TV Action & Adventure
297,TV Show,Navarasa,"Bejoy Nambiar, Priyadarshan, Karthik Narain, Vasanth Sai, Karthik Subbaraj, Arvind Swamy, Rathindran R Prasad, Sarjun, Gautham Vasudev Menon",India,2021-01-01,TV-MA,TV Shows,TV Shows
298,Movie,Quam's Money,Kayode Kasum,Nigeria,2020-01-01,TV-MA,"Comedies, Dramas, International Movies",Comedies
299,Movie,The Swarm,Just Philippot,France,2021-01-01,TV-14,"Horror Movies, Independent Movies, International Movies",Horror Movies
300,Movie,Vivo,"Kirk DeMicco, Brandon Jeffords","Canada, United States",2021-01-01,PG,"Children & Family Movies, Music & Musicals",Children & Family Movies
301,Movie,Chennai Express,Rohit Shetty,India,2013-01-01,TV-14,"Action & Adventure, Comedies, International Movies",Action & Adventure
302,Movie,City of God: 10 Years Later,"Cavi Borges, Luciano Vidigal",Brazil,2013-01-01,TV-MA,"Documentaries, International Movies",Documentaries
303,Movie,Esperando la carroza,Alejandro Doria,Argentina,1985-01-01,TV-MA,"Comedies, Cult Movies, International Movies",Comedies
304,Movie,Lady Boss: The Jackie Collins Story,Laura Fairrie,United Kingdom,2021-01-01,TV-14,Documentaries,Documentaries
305,Movie,Tango Feroz,Marcelo Piñeyro,"Argentina, Spain",1993-01-01,TV-MA,"Classic Movies, Dramas, International Movies",Classic Movies
306,Movie,'76,Izu Ojukwu,Nigeria,2016-01-01,TV-PG,"Dramas, International Movies",Dramas
307,Movie,Aftermath,Peter Winther,United States,2021-01-01,TV-MA,Horror Movies,Horror Movies
308,Movie,American Masters: Inventing David Geffen,Susan Lacy,United States,2012-01-01,TV-MA,Movies,Movies
309,TV Show,Car Masters: Rust to Riches,desconocido,desconocido,2021-01-01,TV-PG,Reality TV,Reality TV
310,TV Show,Cocaine Cowboys: The Kings of Miami,Billy Corben,United States,2021-01-01,TV-MA,"Crime TV Shows, Docuseries",Crime TV Shows
311,TV Show,Control Z,desconocido,Mexico,2021-01-01,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Dramas",International TV Shows
312,TV Show,Cooking With Paris,desconocido,United States,2021-01-01,TV-MA,Reality TV,Reality TV
313,TV Show,Autumn's Concerto,desconocido,Taiwan,2009-01-01,TV-14,"International TV Shows, Romantic TV Shows, TV Dramas",International TV Shows
314,Movie,Heavy,James Mangold,United States,1995-01-01,R,"Dramas, Independent Movies, Romantic Movies",Dramas
315,Movie,Ije: The Journey,Chineze Anyaene,"United States, Nigeria",2010-01-01,TV-MA,"Dramas, International Movies",Dramas
316,TV Show,Office Girls,Hsu Fu-chun,Taiwan,2011-01-01,TV-14,"International TV Shows, Romantic TV Shows, TV Comedies",International TV Shows
317,Movie,Pray Away,Kristine Stolakis,United States,2021-01-01,PG-13,"Documentaries, LGBTQ Movies",Documentaries
318,Movie,Shiny_Flakes: The Teenage Drug Lord,"Eva Müller, Michael Schmitt",desconocido,2021-01-01,TV-MA,"Documentaries, International Movies",Documentaries
319,TV Show,The Prince Who Turns into a Frog,desconocido,Taiwan,2005-01-01,TV-14,"International TV Shows, Romantic TV Shows, TV Comedies",International TV Shows
320,TV Show,Top Secret UFO Projects: Declassified,desconocido,desconocido,2021-01-01,TV-PG,Docuseries,Docuseries
321,TV Show,Two Fathers,desconocido,Taiwan,2013-01-01,TV-14,"International TV Shows, Romantic TV Shows, TV Comedies",International TV Shows
322,TV Show,You're My Destiny,desconocido,Taiwan,2008-01-01,TV-MA,"International TV Shows, Romantic TV Shows, TV Comedies",International TV Shows
323,TV Show,30 Rock,desconocido,United States,2012-01-01,TV-14,TV Comedies,TV Comedies
324,TV Show,44 Cats,desconocido,Italy,2020-01-01,TV-Y7,Kids' TV,Kids' TV
325,Movie,Beethoven,Brian Levant,United States,1992-01-01,PG,"Children & Family Movies, Comedies",Children & Family Movies
326,Movie,Beethoven's 2nd,Rod Daniel,United States,1993-01-01,PG,"Children & Family Movies, Comedies",Children & Family Movies
327,Movie,Beowulf,Robert Zemeckis,"United States, United Kingdom",2007-01-01,PG-13,"Action & Adventure, Sci-Fi & Fantasy",Action & Adventure
328,Movie,Boyka: Undisputed,Todor Chapkanov,"Bulgaria, United States",2016-01-01,R,Action & Adventure,Action & Adventure
329,Movie,Catch Me If You Can,Steven Spielberg,"United States, Canada",2002-01-01,PG-13,Dramas,Dramas
330,Movie,Cloudy with a Chance of Meatballs,"Phil Lord, Christopher Miller","United States, Canada",2009-01-01,PG,"Children & Family Movies, Comedies, Sci-Fi & Fantasy",Children & Family Movies
331,TV Show,Darwin’s Game,desconocido,desconocido,2020-01-01,TV-MA,"Anime Series, International TV Shows, TV Thrillers",Anime Series
332,Movie,Deep Blue Sea,Renny Harlin,"United States, Mexico",1999-01-01,R,"Action & Adventure, Horror Movies, Sci-Fi & Fantasy",Action & Adventure
333,Movie,Ferris Bueller's Day Off,John Hughes,United States,1986-01-01,PG-13,"Classic Movies, Comedies, Cult Movies",Classic Movies
334,Movie,Five Feet Apart,Justin Baldoni,United States,2019-01-01,PG-13,"Dramas, Romantic Movies",Dramas
335,Movie,Freedomland,Joe Roth,United States,2006-01-01,R,"Dramas, Thrillers",Dramas
336,TV Show,Friday Night Lights,desconocido,desconocido,2010-01-01,TV-14,"TV Dramas, Teen TV Shows",TV Dramas
337,Movie,Good Luck Chuck,Mark Helfrich,"United States, Canada",2007-01-01,R,"Comedies, Romantic Movies",Comedies
338,TV Show,Hunter X Hunter (2011),desconocido,Japan,2014-01-01,TV-14,"Anime Series, International TV Shows",Anime Series
339,Movie,I missed you: Director's Cut,"Mag Hsu, Hsu Chih-yen",desconocido,2021-01-01,TV-14,"Dramas, Independent Movies, International Movies",Dramas
340,Movie,Inception,Christopher Nolan,"United States, United Kingdom",2010-01-01,PG-13,"Action & Adventure, Sci-Fi & Fantasy, Thrillers",Action & Adventure
341,Movie,Magnolia,Paul Thomas Anderson,United States,1999-01-01,R,"Dramas, Independent Movies",Dramas
342,Movie,Major Payne,Nick Castle,United States,1995-01-01,PG-13,Comedies,Comedies
343,Movie,My Girl,Howard Zieff,United States,1991-01-01,PG-13,Dramas,Dramas
344,Movie,My Girl 2,Howard Zieff,United States,1994-01-01,PG,"Children & Family Movies, Comedies, Dramas",Children & Family Movies
345,Movie,Open Season: Scared Silly,David Feiss,"United States, Canada",2015-01-01,PG,"Children & Family Movies, Comedies",Children & Family Movies
346,Movie,Pineapple Express,David Gordon Green,United States,2008-01-01,R,"Action & Adventure, Comedies",Action & Adventure
347,Movie,Planet 51,Jorge Blanco,"Spain, United Kingdom, United States",2009-01-01,PG,"Children & Family Movies, Comedies, Sci-Fi & Fantasy",Children & Family Movies
348,Movie,Poms,Zara Hayes,"United Kingdom, United States",2019-01-01,PG-13,Comedies,Comedies
349,Movie,Seabiscuit,Gary Ross,United States,2003-01-01,PG-13,"Dramas, Sports Movies",Dramas
350,Movie,Space Cowboys,Clint Eastwood,United States,2000-01-01,PG-13,"Action & Adventure, Dramas, Sci-Fi & Fantasy",Action & Adventure
351,Movie,Team America: World Police,Trey Parker,"United States, Germany",2004-01-01,R,"Action & Adventure, Comedies, Cult Movies",Action & Adventure
352,Movie,The Edge of Seventeen,Kelly Fremon Craig,"United States, China",2016-01-01,R,"Comedies, Dramas",Comedies
353,Movie,The Haunting in Connecticut 2: Ghosts of Georgia,Tom Elkins,United States,2013-01-01,R,Horror Movies,Horror Movies
